lat,lon,crs,total
-88.5,-156.5,b'',0.31090358
-88.5,-155.5,b'',0.31291968
-88.5,-154.5,b'',0.3139741
-88.5,-153.5,b'',0.3163101
-88.5,-152.5,b'',0.31787464
-88.5,-151.5,b'',0.31836566
-88.5,-150.5,b'',0.3191117
-88.5,-149.5,b'',0.31975916
-88.5,-148.5,b'',0.31968305
-88.5,-147.5,b'',0.31997633
-88.5,-146.5,b'',0.32016826
-88.5,-145.5,b'',0.3180731
-88.5,-144.5,b'',0.31807858
-88.5,-143.5,b'',0.31826782
-88.5,-142.5,b'',0.3186334
-88.5,-141.5,b'',0.31951308
-88.5,-140.5,b'',0.32035133
-88.5,-139.5,b'',0.3207584
-88.5,-138.5,b'',0.32184926
-88.5,-137.5,b'',0.32189417
-88.5,-136.5,b'',0.3221724
-88.5,-135.5,b'',0.32268146
-88.5,-134.5,b'',0.32261464
-88.5,-133.5,b'',0.321527
-88.5,-132.5,b'',0.31992152
-88.5,-131.5,b'',0.32008052
-88.5,-130.5,b'',0.32074785
-88.5,-129.5,b'',0.32120758
-88.5,-128.5,b'',0.32150328
-88.5,-127.5,b'',0.32142225
-88.5,-126.5,b'',0.3223773
-88.5,-125.5,b'',0.32305226
-88.5,-124.5,b'',0.32377326
-88.5,-123.5,b'',0.32415664
-88.5,-122.5,b'',0.3254325
-88.5,-121.5,b'',0.32557586
-88.5,-120.5,b'',0.32588327
-88.5,-119.5,b'',0.32628605
-88.5,-118.5,b'',0.3269976
-88.5,-117.5,b'',0.32746625
-88.5,-116.5,b'',0.32790792
-88.5,-115.5,b'',0.32532302
-88.5,-114.5,b'',0.32530612
-88.5,-113.5,b'',0.3247519
-88.5,-112.5,b'',0.32461068
-88.5,-111.5,b'',0.32406354
-88.5,-110.5,b'',0.32459623
-88.5,-109.5,b'',0.32466662
-88.5,-108.5,b'',0.32501504
-88.5,-107.5,b'',0.32448637
-88.5,-106.5,b'',0.3237278
-88.5,-105.5,b'',0.32295728
-88.5,-104.5,b'',0.3212224
-88.5,-103.5,b'',0.3199952
-88.5,-102.5,b'',0.31732288
-88.5,-101.5,b'',0.31613445
-88.5,-100.5,b'',0.31081238
-88.5,-99.5,b'',0.3079193
-88.5,-98.5,b'',0.30255714
-88.5,-97.5,b'',0.3008685
-88.5,-96.5,b'',0.29728806
-88.5,-95.5,b'',0.29724064
-88.5,-94.5,b'',0.29396212
-88.5,-93.5,b'',0.2932666
-88.5,-92.5,b'',0.29019758
-88.5,-91.5,b'',0.2891215
-88.5,-90.5,b'',0.28641453
-88.5,-89.5,b'',0.2856101
-88.5,-88.5,b'',0.28359714
-88.5,-87.5,b'',0.28256315
-88.5,-86.5,b'',0.28095955
-88.5,-85.5,b'',0.27940723
-88.5,-84.5,b'',0.27793655
-88.5,-83.5,b'',0.27713114
-88.5,-82.5,b'',0.2757838
-88.5,-81.5,b'',0.2750402
-88.5,-80.5,b'',0.27385253
-88.5,-79.5,b'',0.27313855
-88.5,-78.5,b'',0.27221185
-88.5,-77.5,b'',0.27136514
-88.5,-76.5,b'',0.27085772
-88.5,-75.5,b'',0.2697614
-88.5,-74.5,b'',0.26920062
-88.5,-73.5,b'',0.26806572
-88.5,-72.5,b'',0.267627
-88.5,-71.5,b'',0.26682806
-88.5,-70.5,b'',0.2660765
-88.5,-69.5,b'',0.26551482
-88.5,-68.5,b'',0.26517233
-88.5,-67.5,b'',0.26445282
-88.5,-66.5,b'',0.26445523
-88.5,-65.5,b'',0.2636432
-88.5,-64.5,b'',0.2639569
-88.5,-63.5,b'',0.26344764
-88.5,-62.5,b'',0.26374397
-88.5,-61.5,b'',0.26333728
-88.5,-60.5,b'',0.26399508
-88.5,-59.5,b'',0.26338452
-88.5,-58.5,b'',0.26399213
-88.5,-57.5,b'',0.26343757
-88.5,-56.5,b'',0.26375294
-88.5,-55.5,b'',0.26312867
-88.5,-54.5,b'',0.26363027
-88.5,-53.5,b'',0.26300243
-88.5,-52.5,b'',0.26371202
-88.5,-51.5,b'',0.2630637
-88.5,-50.5,b'',0.26358667
-88.5,-49.5,b'',0.26300848
-88.5,-48.5,b'',0.2630302
-88.5,-47.5,b'',0.2622777
-88.5,-46.5,b'',0.26180857
-88.5,-45.5,b'',0.26096946
-88.5,-44.5,b'',0.26010677
-88.5,-43.5,b'',0.2594183
-88.5,-42.5,b'',0.25767574
-88.5,-41.5,b'',0.25684592
-88.5,-40.5,b'',0.25454712
-88.5,-39.5,b'',0.25346616
-88.5,-38.5,b'',0.25110617
-88.5,-37.5,b'',0.25030714
-88.5,-36.5,b'',0.2477013
-88.5,-35.5,b'',0.24667439
-88.5,-34.5,b'',0.244237
-88.5,-33.5,b'',0.24347933
-88.5,-32.5,b'',0.24137355
-88.5,-31.5,b'',0.24055716
-88.5,-30.5,b'',0.2385786
-88.5,-29.5,b'',0.23779163
